,Unnamed: 0,song title,artist,album title,year,duration,bpm,scale,loudness,cluster
554,554,['Snoring Sampson'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],169.13333333333333,135.99917763157896,0,-15.452825065826527,2
555,555,['Weeping Willow'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],313.4,112.34714673913044,0,-15.994945080157526,2
556,556,['Silver Swan Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],245.4,143.5546875,0,-16.931159795941817,2
557,557,['Felicity Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],205.46666666666667,161.4990234375,0,-15.536437151711576,2
558,558,['Heliotrope Bouquet'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],285.8666666666667,117.45383522727272,0,-16.676114140051833,2
559,559,['School of Ragtime'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],114.04,143.5546875,0,-15.708984083389891,2
561,561,['Binks Waltz'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],228.6,143.5546875,0,-15.70776758171534,2
562,562,['Leola'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],270.2,129.19921875,0,-15.326902382265695,2
563,563,['Sugar Cane'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],261.0,135.99917763157896,0,-15.35271951789768,2
564,564,['Country Club'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],238.4,151.99908088235293,0,-16.32373732321934,2
565,565,['Palm Leaf Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],234.04,143.5546875,0,-14.808881060889249,2
566,566,['Kismet Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],223.2933333333333,161.4990234375,0,-14.225375103954738,2
567,567,"[""Scott Joplin's New Rag""]",['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],200.53333333333333,184.5703125,0,-14.60770237477876,2
568,568,['When Your Hair Is Like The Snow'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],120.06666666666666,135.99917763157896,0,-17.06902769010098,2
570,570,['Eugenia'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],297.2,135.99917763157896,0,-14.877048220170591,2
572,572,['Reflection Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],305.06666666666666,135.99917763157896,0,-16.020348973160598,2
573,573,['The Cascades'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],201.69333333333333,172.265625,0,-13.424513027365135,2
574,574,['The Chrysanthemum'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],307.7733333333333,135.99917763157896,0,-16.405923137015993,2
576,576,['A Real Slow Drag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],317.7733333333333,99.38401442307692,0,-17.42209810486405,2
577,577,['Swipesy-Cake Walk'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],209.0,172.265625,0,-13.41982701390688,2
578,578,['The Favorite'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],227.76,161.4990234375,0,-15.420429360854714,2
579,579,['Paragon Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],250.56,143.5546875,0,-15.84260035975959,2
580,580,['Pleasant Moments'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],182.46666666666667,135.99917763157896,0,-16.372003605315125,2
581,581,['Prelude To Act 3'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],232.69333333333333,184.5703125,0,-16.407373341557495,2
582,582,['Please Say You Will'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],133.44,151.99908088235293,0,-14.849994428913018,2
583,583,['A Breeze From Alabama'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],282.24,151.99908088235293,0,-14.7892934699796,2
584,584,['Cleopha'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],217.30666666666667,172.265625,0,-14.28271395205433,2
585,585,"[""Lovin' Babe""]",['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],203.70666666666668,135.99917763157896,0,-17.876357953713068,2
586,586,['Rose Leaf Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],285.2,129.19921875,0,-15.627367611443857,2
587,587,['A Picture Of Her Face'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],171.22666666666666,143.5546875,0,-15.947646118560602,2
588,588,['I Am Thinking Of My Pickanniny Days'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],134.53333333333333,161.4990234375,0,-16.02895964269733,2
589,589,['Combination March'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],196.7733333333333,184.5703125,0,-15.399788870756137,2
590,590,['The Sycamore'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],244.97333333333333,135.99917763157896,0,-14.880734825415123,2
